Date/Time	F1_WS_160_202.5_K620A [m/s]	F2_WS_140_202.5_K620A [m/s]	F3_WS_100_202.5_K620A [m/s]	F4_WS_80_202.5_K620A [m/s]	F5_WS_40_202.5_K620A [m/s]	F6_WS_10_202.5_K620A [m/s]	Speed 130 m Synthesized [m/s]
2023/9/1 0:00	1.307	1.272	2.687	2.563	1.806	1.407	1.338
2023/9/1 0:10	0.941	0.836	2.242	2.047	1.361	0.701	0.879
2023/9/1 0:20	0.913	0.429	1.526	1.814	1.198	0.464	0.451
2023/9/1 0:30	0.24	0.458	1.574	1.493	0.75	0.239	0.482
2023/9/1 0:40	0.24	0.246	0.395	0.599	0.233	0.248	0.259
2023/9/1 0:50	0.24	0.246	0.391	1.169	0.785	0.408	0.259
2023/9/1 1:00	0.24	0.246	1.511	1.885	1.592	1.846	0.259
2023/9/1 1:10	0.24	0.246	1.011	1.631	1.615	1.866	0.259
2023/9/1 1:20	0.24	0.328	1.678	2.14	2.092	2.094	0.345
2023/9/1 1:30	0.24	0.456	2.05	2.366	2.418	2.417	0.48
2023/9/1 1:40	0.281	0.589	2.026	2.333	2.393	2.318	0.62
2023/9/1 1:50	0.595	0.348	1.531	2.097	2.392	2.154	0.366
2023/9/1 2:00	0.677	1.49	2.272	2.456	2.558	2.969	1.567
2023/9/1 2:10	1.869	2.258	2.527	2.5	2.611	3.114	2.375
2023/9/1 2:20	2.26	2.475	2.678	2.831	2.619	3.026	2.604
2023/9/1 2:30	2.093	2.177	2.646	3.023	3.047	2.88	2.29
2023/9/1 2:40	2.386	2.491	2.942	3.465	3.506	2.587	2.62
2023/9/1 2:50	2.414	2.496	3.213	3.562	3.317	2.285	2.626
2023/9/1 3:00	2.813	3.087	3.547	3.51	2.914	2.006	3.247
2023/9/1 3:10	3.032	3.019	3.112	3.104	2.458	1.786	3.176
2023/9/1 3:20	2.539	2.474	2.741	2.635	1.996	2.021	2.603
2023/9/1 3:30	2.314	2.257	2.323	2.217	1.735	1.466	2.374
2023/9/1 3:40	2.39	2.195	2.086	1.879	1.654	1.557	2.309
2023/9/1 3:50	2.536	2.469	2.077	1.807	2.066	1.817	2.597
2023/9/1 4:00	2.372	2.21	2.03	1.705	1.881	2.174	2.325
2023/9/1 4:10	2.099	1.997	1.249	1.075	1.192	1.68	2.101
2023/9/1 4:20	1.874	1.64	0.832	0.679	1.103	1.345	1.725
2023/9/1 4:30	1.616	1.412	0.465	0.545	0.69	0.962	1.485
2023/9/1 4:40	1.948	1.445	0.337	0.283	0.623	0.862	1.52
2023/9/1 4:50	1.678	1.409	0.234	0.269	1.043	1.013	1.482
2023/9/1 5:00	1.711	1.484	0.234	0.21	0.674	0.817	1.561
2023/9/1 5:10	1.77	1.619	0.234	0.21	0.242	0.532	1.703
2023/9/1 5:20	1.976	1.731	0.248	0.21	0.233	0.364	1.821
2023/9/1 5:30	2.098	1.719	0.234	0.21	0.495	0.849	1.808
2023/9/1 5:40	1.922	1.59	0.334	0.28	0.429	0.454	1.673
2023/9/1 5:50	2.218	1.879	1.094	0.559	0.433	0.593	1.977
2023/9/1 6:00	2.119	1.849	1.1	0.685	0.737	0.481	1.945
2023/9/1 6:10	2.246	1.979	1.638	1.382	0.909	0.254	2.082
2023/9/1 6:20	3.016	2.495	1.633	1.403	0.769	0.239	2.625
2023/9/1 6:30	2.486	2.066	1.584	1.346	0.399	0.239	2.173
2023/9/1 6:40	2.384	2.003	1.416	1.258	0.792	0.393	2.107
2023/9/1 6:50	2.778	2.334	1.83	1.804	1.799	1.285	2.455
2023/9/1 7:00	3.192	2.719	2.022	1.744	1.626	0.935	2.86
2023/9/1 7:10	2.716	2.36	1.942	1.72	1.425	0.705	2.483
2023/9/1 7:20	3.044	2.486	2.053	2.031	1.88	1.624	2.615
2023/9/1 7:30	2.431	2.091	1.625	1.809	2.262	1.58	2.2
2023/9/1 7:40	3.075	2.693	2.193	2.183	2.45	1.957	2.833
2023/9/1 7:50	2.455	2.21	1.878	1.681	1.506	1.044	2.325
2023/9/1 8:00	1.967	1.443	1.187	0.978	1.198	0.707	1.518
2023/9/1 8:10	3.671	3.221	2.041	1.631	1.03	0.676	3.388
2023/9/1 8:20	4.543	4.125	3.71	3.373	2.687	2.264	4.339
2023/9/1 8:30	5.144	4.459	3.861	3.642	3.259	3.1	4.691
2023/9/1 8:40	5.18	4.814	4.574	4.41	4.187	3.801	5.064
2023/9/1 8:50	3.076	2.873	2.897	2.917	3.039	2.804	3.022
2023/9/1 9:00	3.195	3.039	2.601	2.505	2.265	1.976	3.197
2023/9/1 9:10	4.22	3.898	3.439	3.061	2.692	2.464	4.101
2023/9/1 9:20	4.555	4.142	3.896	3.902	3.754	3.248	4.357
2023/9/1 9:30	4.728	4.217	3.881	3.813	3.888	3.605	4.436
2023/9/1 9:40	4.796	4.306	3.952	4.039	4.091	3.592	4.53
2023/9/1 9:50	5.472	4.908	4.329	4.177	3.839	3.463	5.163
2023/9/1 10:00	4.507	3.969	3.066	2.814	2.834	2.536	4.175
2023/9/1 10:10	4.602	4.004	2.972	2.664	2.651	2.398	4.212
2023/9/1 10:20	3.799	3.238	2.7	2.439	2.35	2.04	3.406
2023/9/1 10:30	3.831	3.397	2.998	3.073	2.712	2.467	3.574
2023/9/1 10:40	3.295	3.003	2.692	2.635	2.49	2.23	3.159
2023/9/1 10:50	3.127	2.871	2.279	2.223	2.14	2.216	3.02
2023/9/1 11:00	4.273	3.73	2.976	2.877	3.057	2.705	3.924
2023/9/1 11:10	4.731	4.512	4.432	4.424	4.169	3.814	4.747
2023/9/1 11:20	5.34	5	4.697	4.844	4.789	4.184	5.26
2023/9/1 11:30	4.252	4.111	4.246	4.324	4.516	4.082	4.325
2023/9/1 11:40	4.695	4.482	4.434	4.354	4.249	3.7	4.715
2023/9/1 11:50	4.288	4.106	4.025	4.136	4.304	3.97	4.319
2023/9/1 12:00	3.438	3.311	3.548	3.579	3.591	3.132	3.483
2023/9/1 12:10	3.66	3.474	3.459	3.46	3.349	2.976	3.655
2023/9/1 12:20	3.258	3.187	3.265	3.386	3.479	3.046	3.353
2023/9/1 12:30	2.865	2.833	2.641	2.81	2.774	2.396	2.98
2023/9/1 12:40	2.535	2.439	2.447	2.583	2.624	2.294	2.566
2023/9/1 12:50	3.325	3.16	3.084	3.134	3.096	2.543	3.324
2023/9/1 13:00	3.759	3.468	3.363	3.41	3.24	2.963	3.648
2023/9/1 13:10	3.592	3.529	3.357	3.435	3.512	3.026	3.712
2023/9/1 13:20	3.508	3.4	3.436	3.587	3.883	3.714	3.577
2023/9/1 13:30	3.477	3.155	3.116	3.199	3.186	2.821	3.319
