Created 2025/1/3 17:04 by Windographer 4.0.11

Latitude = N 34.665893
Longitude = E 111.529245
Elevation = 783 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>, Synthesized
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	Final speed - LLS [m/s]	Final direction [°]	
2023-09-01 00:00	0.647	159.6
2023-09-01 01:00	0.306	182.1
2023-09-01 02:00	1.950	33.4
2023-09-01 03:00	2.604	67.8
2023-09-01 04:00	1.931	71.4
2023-09-01 05:00	1.949	97.6
2023-09-01 06:00	2.505	104.5
2023-09-01 07:00	2.819	92.0
2023-09-01 08:00	3.930	90.8
2023-09-01 09:00	4.494	110.9
2023-09-01 10:00	3.860	113.5
2023-09-01 11:00	4.597	107.8
2023-09-01 12:00	3.180	103.1
2023-09-01 13:00	3.696	95.4
2023-09-01 14:00	4.088	96.6
2023-09-01 15:00	4.018	104.1
2023-09-01 16:00	4.452	125.2
2023-09-01 17:00	4.448	122.7
2023-09-01 18:00	4.619	111.1
2023-09-01 19:00	5.623	106.1
2023-09-01 20:00	6.542	105.7
2023-09-01 21:00	7.447	108.5
2023-09-01 22:00	7.574	108.9
2023-09-01 23:00	6.754	107.7
2023-09-02 00:00	4.419	108.8
2023-09-02 01:00	4.120	104.3
2023-09-02 02:00	3.574	100.1
2023-09-02 03:00	5.035	104.3
2023-09-02 04:00	4.682	111.8
2023-09-02 05:00	3.590	101.4
2023-09-02 06:00	3.103	105.6
2023-09-02 07:00	4.569	106.6
2023-09-02 08:00	4.294	108.1
2023-09-02 09:00	3.441	111.4
2023-09-02 10:00	3.560	117.6
2023-09-02 11:00	5.186	120.1
2023-09-02 12:00	5.035	127.8
2023-09-02 13:00	5.076	125.3
2023-09-02 14:00	5.615	111.9
2023-09-02 15:00	5.636	107.6
2023-09-02 16:00	5.809	114.2
2023-09-02 17:00	5.729	113.4
2023-09-02 18:00	5.981	113.7
2023-09-02 19:00	7.037	110.2
2023-09-02 20:00	7.188	110.7
2023-09-02 21:00	5.723	101.7
2023-09-02 22:00	4.521	100.5
2023-09-02 23:00	4.454	85.8
2023-09-03 00:00	4.030	85.5
2023-09-03 01:00	2.996	108.9
2023-09-03 02:00	1.918	122.1
2023-09-03 03:00	3.267	152.9
2023-09-03 04:00	2.383	128.5
2023-09-03 05:00	2.222	109.1
2023-09-03 06:00	2.673	89.4
2023-09-03 07:00	3.102	98.5
2023-09-03 08:00	2.860	104.9
2023-09-03 09:00	2.052	101.1
2023-09-03 10:00	1.852	155.0
2023-09-03 11:00	1.948	175.6
2023-09-03 12:00	2.080	111.9
2023-09-03 13:00	2.792	126.3
2023-09-03 14:00	2.841	119.7
2023-09-03 15:00	3.106	122.5
2023-09-03 16:00	3.628	122.9
2023-09-03 17:00	4.521	118.8
2023-09-03 18:00	5.161	113.9
2023-09-03 19:00	6.152	108.0
2023-09-03 20:00	6.243	111.3
2023-09-03 21:00	6.210	108.7
2023-09-03 22:00	4.868	101.5
2023-09-03 23:00	4.640	102.2
2023-09-04 00:00	4.050	103.8
2023-09-04 01:00	4.211	95.1
2023-09-04 02:00	4.148	96.8
2023-09-04 03:00	4.013	97.4
2023-09-04 04:00	4.040	100.0
2023-09-04 05:00	4.644	104.0
2023-09-04 06:00	4.114	103.0
2023-09-04 07:00	3.712	93.3
2023-09-04 08:00	3.494	106.3
2023-09-04 09:00	3.185	130.3
2023-09-04 10:00	3.297	116.6
2023-09-04 11:00	4.862	113.4
2023-09-04 12:00	5.163	112.3
2023-09-04 13:00	4.802	113.3
2023-09-04 14:00	4.935	114.7
2023-09-04 15:00	5.372	108.2
2023-09-04 16:00	5.150	107.5
2023-09-04 17:00	6.036	105.8
2023-09-04 18:00	6.348	108.7
2023-09-04 19:00	8.244	117.5
2023-09-04 20:00	9.353	122.8
2023-09-04 21:00	8.544	117.4
2023-09-04 22:00	8.331	110.4
2023-09-04 23:00	8.193	110.3
2023-09-05 00:00	7.391	109.7
2023-09-05 01:00	7.611	109.3
2023-09-05 02:00	7.164	112.8
2023-09-05 03:00	7.125	117.2
2023-09-05 04:00	5.606	114.7
2023-09-05 05:00	5.401	103.6
2023-09-05 06:00	6.388	104.9
2023-09-05 07:00	6.692	106.2
2023-09-05 08:00	5.527	108.6
2023-09-05 09:00	4.889	111.7
2023-09-05 10:00	7.528	115.4
2023-09-05 11:00	7.952	116.0
2023-09-05 12:00	6.931	110.8
2023-09-05 13:00	7.365	113.6
2023-09-05 14:00	9.008	109.8
2023-09-05 15:00	9.677	113.9
2023-09-05 16:00	8.436	109.4
2023-09-05 17:00	8.144	109.2
2023-09-05 18:00	8.364	113.2
2023-09-05 19:00	9.324	114.4
2023-09-05 20:00	9.011	107.7
2023-09-05 21:00	9.136	113.3
2023-09-05 22:00	8.359	113.6
2023-09-05 23:00	7.855	119.5
2023-09-06 00:00	7.111	129.6
2023-09-06 01:00	6.603	140.7
2023-09-06 02:00	6.297	139.7
2023-09-06 03:00	5.893	130.0
2023-09-06 04:00	6.511	129.1
2023-09-06 05:00	6.106	121.3
2023-09-06 06:00	6.350	115.5
2023-09-06 07:00	7.109	115.0
2023-09-06 08:00	7.234	122.5
2023-09-06 09:00	6.768	123.5
2023-09-06 10:00	7.404	123.0
2023-09-06 11:00	6.869	122.6
2023-09-06 12:00	8.026	124.6
2023-09-06 13:00	8.019	123.0
2023-09-06 14:00	8.119	115.2
2023-09-06 15:00	8.060	108.9
2023-09-06 16:00	8.689	113.2
2023-09-06 17:00	8.899	111.9
2023-09-06 18:00	8.165	104.5
2023-09-06 19:00	8.912	99.7
2023-09-06 20:00	9.909	100.8
2023-09-06 21:00	9.016	111.4
2023-09-06 22:00	9.052	116.2
2023-09-06 23:00	8.708	126.8
2023-09-07 00:00	7.491	132.4
2023-09-07 01:00	7.309	127.3
2023-09-07 02:00	7.113	125.8
2023-09-07 03:00	6.467	119.1
2023-09-07 04:00	5.590	115.5
2023-09-07 05:00	4.867	114.2
2023-09-07 06:00	5.239	108.0
2023-09-07 07:00	5.797	109.9
2023-09-07 08:00	5.268	117.3
2023-09-07 09:00	3.793	129.6
2023-09-07 10:00	3.809	127.6
2023-09-07 11:00	5.227	126.2
2023-09-07 12:00	4.987	127.0
2023-09-07 13:00	5.171	117.3
2023-09-07 14:00	4.760	117.6
2023-09-07 15:00	3.923	121.4
2023-09-07 16:00	4.771	116.8
2023-09-07 17:00	5.301	116.2
2023-09-07 18:00	5.077	116.8
2023-09-07 19:00	5.517	115.2
2023-09-07 20:00	6.431	122.0
2023-09-07 21:00	6.900	117.5
2023-09-07 22:00	7.085	111.5
2023-09-07 23:00	5.738	112.0
2023-09-08 00:00	4.761	105.4
2023-09-08 01:00	4.159	109.1
2023-09-08 02:00	3.948	102.7
2023-09-08 03:00	3.624	114.3
2023-09-08 04:00	3.286	110.4
2023-09-08 05:00	3.548	91.8
2023-09-08 06:00	3.493	106.4
2023-09-08 07:00	3.773	94.4
2023-09-08 08:00	3.956	109.8
2023-09-08 09:00	3.812	127.9
2023-09-08 10:00	3.770	125.9
2023-09-08 11:00	4.144	124.3
2023-09-08 12:00	4.279	132.9
2023-09-08 13:00	4.396	124.8
2023-09-08 14:00	4.380	126.9
2023-09-08 15:00	5.159	111.4
2023-09-08 16:00	6.339	105.8
2023-09-08 17:00	6.537	106.2
2023-09-08 18:00	7.047	102.0
2023-09-08 19:00	8.076	97.5
2023-09-08 20:00	8.803	96.5
2023-09-08 21:00	8.540	103.0
2023-09-08 22:00	7.611	108.0
2023-09-08 23:00	6.586	109.9
2023-09-09 00:00	5.661	103.5
2023-09-09 01:00	4.540	108.6
2023-09-09 02:00	3.160	118.1
2023-09-09 03:00	4.483	109.8
2023-09-09 04:00	4.374	101.0
2023-09-09 05:00	4.066	104.2
2023-09-09 06:00	5.881	108.3
2023-09-09 07:00	5.896	116.9
2023-09-09 08:00	4.833	122.1
2023-09-09 09:00	3.301	114.8
2023-09-09 10:00	4.245	116.9
2023-09-09 11:00	3.828	119.3
2023-09-09 12:00	3.855	115.3
2023-09-09 13:00	4.062	112.0
2023-09-09 14:00	4.024	103.6
2023-09-09 15:00	4.133	103.4
2023-09-09 16:00	4.822	107.2
2023-09-09 17:00	4.847	115.9
2023-09-09 18:00	4.167	108.3
2023-09-09 19:00	4.259	117.0
2023-09-09 20:00	3.577	112.2
2023-09-09 21:00	6.341	77.9
2023-09-09 22:00	3.324	130.1
2023-09-09 23:00	5.205	128.8
2023-09-10 00:00	3.727	161.7
2023-09-10 01:00	3.060	176.1
2023-09-10 02:00	3.882	281.2
2023-09-10 03:00	4.803	299.4
2023-09-10 04:00	4.756	308.4
2023-09-10 05:00	4.339	324.0
2023-09-10 06:00	4.233	335.2
2023-09-10 07:00	1.418	10.9
2023-09-10 08:00	1.260	41.4
2023-09-10 09:00	2.568	107.1
2023-09-10 10:00	3.612	113.9
2023-09-10 11:00	2.406	119.2
2023-09-10 12:00	3.161	141.9
2023-09-10 13:00	3.037	133.1
2023-09-10 14:00	3.853	120.9
2023-09-10 15:00	4.603	119.7
2023-09-10 16:00	3.603	123.0
2023-09-10 17:00	3.569	122.7
2023-09-10 18:00	3.784	126.9
2023-09-10 19:00	3.881	134.2
2023-09-10 20:00	4.171	131.6
2023-09-10 21:00	4.045	121.4
2023-09-10 22:00	3.992	120.2
2023-09-10 23:00	3.842	119.4
2023-09-11 00:00	2.587	123.3
2023-09-11 01:00	2.499	105.4
2023-09-11 02:00	3.026	125.9
2023-09-11 03:00	2.733	147.0
2023-09-11 04:00	2.985	119.2
2023-09-11 05:00	2.166	163.6
2023-09-11 06:00	1.184	196.3
2023-09-11 07:00	1.287	163.3
2023-09-11 08:00	1.043	207.0
2023-09-11 09:00	2.090	351.2
2023-09-11 10:00	2.978	293.0
2023-09-11 11:00	4.279	290.6
2023-09-11 12:00	5.548	308.5
2023-09-11 13:00	5.011	282.3
2023-09-11 14:00	5.640	297.6
2023-09-11 15:00	5.827	288.7
2023-09-11 16:00	8.613	286.0
2023-09-11 17:00	10.978	283.1
2023-09-11 18:00	11.236	281.1
2023-09-11 19:00	12.047	285.0
2023-09-11 20:00	11.948	288.1
2023-09-11 21:00	10.712	282.0
2023-09-11 22:00	9.911	277.2
2023-09-11 23:00	6.259	293.0
2023-09-12 00:00	8.333	279.8
2023-09-12 01:00	7.787	283.6
2023-09-12 02:00	6.672	280.0
2023-09-12 03:00	4.916	286.5
2023-09-12 04:00	6.180	284.1
2023-09-12 05:00	7.209	282.8
2023-09-12 06:00	6.561	285.7
2023-09-12 07:00	6.958	281.2
2023-09-12 08:00	4.873	290.8
2023-09-12 09:00	3.353	320.4
2023-09-12 10:00	6.523	122.0
2023-09-12 11:00	5.100	215.3
2023-09-12 12:00	4.529	265.3
2023-09-12 13:00	2.963	330.0
2023-09-12 14:00	1.766	310.9
2023-09-12 15:00	1.028	259.7
2023-09-12 16:00	1.194	102.2
2023-09-12 17:00	2.110	86.8
2023-09-12 18:00	2.349	115.5
2023-09-12 19:00	3.747	129.5
2023-09-12 20:00	3.725	121.2
2023-09-12 21:00	3.700	134.7
2023-09-12 22:00	3.794	133.4
2023-09-12 23:00	3.944	123.2
2023-09-13 00:00	4.369	123.7
2023-09-13 01:00	4.034	129.8
2023-09-13 02:00	3.609	125.3
2023-09-13 03:00	2.517	118.0
2023-09-13 04:00	3.012	98.1
2023-09-13 05:00	3.284	95.6
2023-09-13 06:00	4.800	100.3
2023-09-13 07:00	4.498	112.1
2023-09-13 08:00	4.659	127.2
2023-09-13 09:00	4.807	124.1
2023-09-13 10:00	3.666	119.9
2023-09-13 11:00	4.109	130.1
2023-09-13 12:00	4.199	145.0
2023-09-13 13:00	3.988	136.0
2023-09-13 14:00	4.100	132.5
2023-09-13 15:00	4.860	128.0
2023-09-13 16:00	5.471	114.2
2023-09-13 17:00	4.749	117.6
2023-09-13 18:00	6.313	112.2
2023-09-13 19:00	7.725	107.5
2023-09-13 20:00	8.080	113.2
2023-09-13 21:00	7.978	111.8
2023-09-13 22:00	6.974	105.4
2023-09-13 23:00	7.232	106.4
2023-09-14 00:00	7.083	112.1
2023-09-14 01:00	6.078	119.1
2023-09-14 02:00	5.180	114.8
2023-09-14 03:00	4.323	118.5
2023-09-14 04:00	4.172	121.1
2023-09-14 05:00	4.440	114.5
2023-09-14 06:00	5.575	105.2
2023-09-14 07:00	5.351	108.2
2023-09-14 08:00	4.741	114.3
2023-09-14 09:00	4.083	120.3
2023-09-14 10:00	4.322	125.3
2023-09-14 11:00	4.897	120.9
2023-09-14 12:00	5.617	117.0
2023-09-14 13:00	5.933	113.9
2023-09-14 14:00	6.306	114.6
2023-09-14 15:00	6.614	113.6
2023-09-14 16:00	7.111	112.8
2023-09-14 17:00	7.167	108.7
2023-09-14 18:00	8.281	113.3
2023-09-14 19:00	9.807	115.4
2023-09-14 20:00	9.479	111.4
2023-09-14 21:00	8.475	104.2
2023-09-14 22:00	6.864	99.7
2023-09-14 23:00	4.986	103.9
2023-09-15 00:00	3.249	102.7
2023-09-15 01:00	2.754	100.3
2023-09-15 02:00	2.876	93.5
2023-09-15 03:00	3.989	87.3
2023-09-15 04:00	3.881	102.2
2023-09-15 05:00	4.494	106.7
2023-09-15 06:00	4.482	107.3
2023-09-15 07:00	3.818	128.6
2023-09-15 08:00	3.215	141.1
2023-09-15 09:00	3.055	135.1
2023-09-15 10:00	3.793	136.3
2023-09-15 11:00	4.411	121.8
2023-09-15 12:00	4.146	127.3
2023-09-15 13:00	4.385	136.5
2023-09-15 14:00	4.580	128.5
2023-09-15 15:00	4.732	117.9
2023-09-15 16:00	5.690	113.1
2023-09-15 17:00	5.891	111.9
2023-09-15 18:00	6.623	113.2
2023-09-15 19:00	7.978	117.6
2023-09-15 20:00	7.752	111.0
2023-09-15 21:00	7.210	101.5
2023-09-15 22:00	6.397	95.4
2023-09-15 23:00	4.953	96.7
2023-09-16 00:00	4.132	101.9
2023-09-16 01:00	4.002	105.6
2023-09-16 02:00	3.653	109.1
2023-09-16 03:00	3.238	103.7
2023-09-16 04:00	1.938	95.2
2023-09-16 05:00	2.196	74.2
2023-09-16 06:00	2.114	105.2
2023-09-16 07:00	1.194	170.6
2023-09-16 08:00	1.245	48.6
2023-09-16 09:00	2.087	78.7
2023-09-16 10:00	2.010	107.5
2023-09-16 11:00	2.438	107.7
2023-09-16 12:00	2.978	116.3
2023-09-16 13:00	3.266	123.0
2023-09-16 14:00	3.939	121.5
2023-09-16 15:00	4.772	118.2
2023-09-16 16:00	5.718	117.6
2023-09-16 17:00	5.997	121.7
2023-09-16 18:00	6.694	111.4
2023-09-16 19:00	8.593	110.3
2023-09-16 20:00	8.862	107.2
2023-09-16 21:00	8.253	110.0
2023-09-16 22:00	6.247	107.1
2023-09-16 23:00	4.237	104.8
2023-09-17 00:00	3.355	101.6
2023-09-17 01:00	3.016	96.1
2023-09-17 02:00	4.012	106.9
2023-09-17 03:00	5.537	108.7
2023-09-17 04:00	3.969	102.0
2023-09-17 05:00	3.678	89.2
2023-09-17 06:00	3.150	127.7
2023-09-17 07:00	4.605	66.1
2023-09-17 08:00	4.924	95.9
