Date/Time	F1_WS_160_202.5_K620A [m/s]	F2_WS_140_202.5_K620A [m/s]	F3_WS_100_202.5_K620A [m/s]	F4_WS_80_202.5_K620A [m/s]	F5_WS_40_202.5_K620A [m/s]	Speed 130 m Synthesized [m/s]
2023/9/1 0:00	1.785	2.002	1.767	1.614	1.041	1.992
2023/9/1 0:10	1.265	1.204	1.243	1.168	0.684	1.211
2023/9/1 0:20	0.249	0.241	0.595	0.828	1.22	0.237
2023/9/1 0:30	0.249	0.241	0.679	1.236	1.558	0.237
2023/9/1 0:40	0.249	0.347	1.324	1.689	1.876	0.836
2023/9/1 0:50	0.705	1.056	1.39	1.63	2.134	0.237
2023/9/1 1:00	1.42	1.613	1.705	2.049	2.439	1.602
2023/9/1 1:10	1.865	1.911	2.003	1.975	2.582	1.934
2023/9/1 1:20	1.743	1.873	2.087	1.903	2.336	1.862
2023/9/1 1:30	1.391	1.781	2.202	2.002	1.801	2.156
2023/9/1 1:40	1.118	1.768	2.498	2.09	1.39	2.399
2023/9/1 1:50	2.071	2.398	2.2	2.348	1.642	2.435
2023/9/1 2:00	1.209	1.565	1.859	1.8	2.013	2.065
2023/9/1 2:10	2.416	2.278	2.073	2.031	2.087	2.272
2023/9/1 2:20	2.438	2.461	2.454	2.605	1.788	2.682
2023/9/1 2:30	2.771	2.557	2.469	2.568	1.683	2.632
2023/9/1 2:40	2.729	2.564	2.478	2.437	1.538	2.67
2023/9/1 2:50	2.769	2.614	2.545	2.578	1.784	2.711
2023/9/1 3:00	2.808	2.564	2.462	2.52	1.831	2.557
2023/9/1 3:10	2.546	2.238	2.058	2.189	1.646	2.204
2023/9/1 3:20	2.07	1.691	1.719	1.615	1.087	1.821
2023/9/1 3:30	2.027	1.399	1.249	1.146	0.706	1.226
2023/9/1 3:40	1.839	1.32	0.983	0.898	0.638	1.15
2023/9/1 3:50	1.738	1.336	0.778	0.354	1.163	1.033
2023/9/1 4:00	2.082	1.842	1.233	1.127	0.467	1.682
2023/9/1 4:10	2.305	1.907	1.387	1.177	0.734	1.879
2023/9/1 4:20	2.505	2.262	1.86	1.403	0.844	2.134
2023/9/1 4:30	2.782	2.63	1.955	1.555	0.668	2.412
2023/9/1 4:40	3.109	2.481	1.719	1.236	0.485	2.338
2023/9/1 4:50	3.185	2.775	1.741	1.113	0.449	2.478
2023/9/1 5:00	3.15	2.722	1.898	1.463	0.635	2.532
2023/9/1 5:10	3.321	2.901	2.364	2.076	0.872	2.721
2023/9/1 5:20	3.935	3.43	2.621	2.308	1.283	3.161
2023/9/1 5:30	4.077	3.573	2.441	2.144	1.452	3.104
2023/9/1 5:40	3.895	3.359	2.559	2.199	1.534	3.076
2023/9/1 5:50	3.487	3.163	2.558	2.155	1.932	2.96
2023/9/1 6:00	3.284	2.853	1.832	1.724	1.821	2.373
2023/9/1 6:10	3.262	3.011	2.094	1.519	1.096	2.695
2023/9/1 6:20	3.654	3.227	2.261	1.815	1.19	2.922
2023/9/1 6:30	4.241	3.718	2.762	2.336	1.384	3.344
2023/9/1 6:40	4.316	3.694	2.77	2.309	1.33	3.369
2023/9/1 6:50	4.446	3.793	2.917	2.524	1.616	3.539
2023/9/1 7:00	3.871	3.33	2.405	2.025	1.498	3.033
2023/9/1 7:10	2.875	2.432	2.008	1.687	1.144	2.459
2023/9/1 7:20	3.473	2.764	2.139	2.119	1.276	2.373
2023/9/1 7:30	3.736	3.183	2.145	2.323	1.8	2.73
2023/9/1 7:40	4.25	3.672	3.114	2.608	1.845	3.654
2023/9/1 7:50	4.791	4.115	3.385	2.895	2.142	3.915
2023/9/1 8:00	4.771	4.199	3.154	2.83	2.215	4.005
2023/9/1 8:10	4.283	3.757	3.279	3.108	2.476	3.662
2023/9/1 8:20	4.022	3.745	3.344	2.962	2.38	3.793
2023/9/1 8:30	3.682	3.641	3.237	3.124	2.414	3.592
2023/9/1 8:40	5.048	4.153	3.449	3.228	2.598	3.839
2023/9/1 8:50	6.703	5.579	3.399	2.907	2.141	4.521
2023/9/1 9:00	6.601	5.601	3.408	2.532	1.844	4.828
2023/9/1 9:10	5.47	4.216	2.189	1.413	1.476	3.4
2023/9/1 9:20	5.374	4.303	2.612	1.957	1.261	3.637
2023/9/1 9:30	5.129	3.98	2.803	2.336	1.362	3.372
2023/9/1 9:40	5.732	4.599	3.006	2.506	1.773	3.774
2023/9/1 9:50	4.983	4.137	2.666	2.05	1.476	3.542
2023/9/1 10:00	4.139	3.529	2.216	1.804	1.697	2.974
2023/9/1 10:10	3.363	2.787	1.931	1.679	1.248	2.435
2023/9/1 10:20	3.209	2.872	2.451	2.342	2.312	2.803
2023/9/1 10:30	3.033	2.372	1.867	1.923	1.958	2.06
2023/9/1 10:40	3.463	2.985	2.168	1.946	1.666	2.742
2023/9/1 10:50	3.547	3.114	2.689	2.611	1.788	3.078
2023/9/1 11:00	3.148	2.667	2.252	2.15	1.935	2.543
2023/9/1 11:10	3.485	3.172	2.63	2.555	2.501	2.963
2023/9/1 11:20	2.785	2.606	2.745	2.857	2.761	2.873
2023/9/1 11:30	3.183	2.966	2.738	2.621	2.479	3.037
2023/9/1 11:40	3.129	2.983	2.88	2.853	2.687	3.148
2023/9/1 11:50	3.605	3.44	3.474	3.439	3.352	3.657
2023/9/1 12:00	3.855	3.608	3.617	3.579	3.227	3.887
2023/9/1 12:10	2.814	2.67	2.74	2.897	2.909	2.813
2023/9/1 12:20	3.805	3.491	3.355	3.227	3.628	3.677
2023/9/1 12:30	3.302	3.12	3.151	3.19	3.253	3.337
2023/9/1 12:40	4.103	4.018	4.121	4.189	4.285	4.326
2023/9/1 12:50	4.014	3.767	3.581	3.553	3.516	3.854
2023/9/1 13:00	3.564	3.282	3.124	3.158	3.037	3.428
2023/9/1 13:10	3.871	3.713	3.573	3.585	3.576	3.845
2023/9/1 13:20	3.465	3.328	3.568	3.664	3.477	3.644
2023/9/1 13:30	3.608	3.356	3.523	3.701	3.777	3.679
2023/9/1 13:40	3.694	3.541	3.339	3.395	3.62	3.634
2023/9/1 13:50	4.495	4.243	4.231	4.309	4.143	4.577
2023/9/1 14:00	3.913	3.741	3.606	3.656	3.792	3.871
2023/9/1 14:10	4.151	3.976	4.068	4.099	4.035	4.242
2023/9/1 14:20	4.293	3.971	4.059	4.142	4.154	4.281
2023/9/1 14:30	3.874	3.665	3.295	3.4	3.419	3.685
