Created 2025/1/2 11:28 by Windographer 4.0.11

Latitude = N 34.596327
Longitude = E 111.660960
Elevation = 622 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>, Synthesized
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	A2_WD_120_0_05V [°]	Speed 130 m Synthesized [m/s]	Speed 130 m Synthesized SD [m/s]	
2023-09-01 00:00	104.4	1.992	0.287
2023-09-01 00:10	93.9	1.211	0.358
2023-09-01 00:20	47.1	0.237	0.026
2023-09-01 00:30	28.1	0.237	0.061
2023-09-01 00:40	7.7	0.836	0.099
2023-09-01 00:50	354.7	0.237	0.018
2023-09-01 01:00	2.1	1.602	0.154
2023-09-01 01:10	3.5	1.934	0.615
2023-09-01 01:20	12.3	1.862	0.499
2023-09-01 01:30	25.0	2.156	0.586
2023-09-01 01:40	46.4	2.399	0.777
2023-09-01 01:50	64.0	2.435	1.045
2023-09-01 02:00	53.1	2.065	0.410
2023-09-01 02:10	57.3	2.272	0.652
2023-09-01 02:20	58.7	2.682	0.409
2023-09-01 02:30	73.1	2.632	0.170
2023-09-01 02:40	71.7	2.670	0.502
2023-09-01 02:50	87.5	2.711	0.451
2023-09-01 03:00	87.2	2.557	0.113
2023-09-01 03:10	89.3	2.204	0.021
2023-09-01 03:20	89.3	1.821	0.033
2023-09-01 03:30	88.9	1.226	0.111
2023-09-01 03:40	76.6	1.150	0.435
2023-09-01 03:50	74.2	1.033	0.109
2023-09-01 04:00	79.8	1.682	0.016
2023-09-01 04:10	68.2	1.879	0.018
2023-09-01 04:20	61.2	2.134	0.208
2023-09-01 04:30	69.6	2.412	0.233
2023-09-01 04:40	76.3	2.338	0.431
2023-09-01 04:50	86.5	2.478	0.256
2023-09-01 05:00	86.8	2.532	0.169
2023-09-01 05:10	81.2	2.721	0.233
2023-09-01 05:20	70.3	3.161	0.309
2023-09-01 05:30	64.7	3.104	0.230
2023-09-01 05:40	64.7	3.076	0.132
2023-09-01 05:50	52.7	2.960	0.154
2023-09-01 06:00	44.0	2.373	0.479
2023-09-01 06:10	63.6	2.695	0.372
2023-09-01 06:20	74.5	2.922	0.281
2023-09-01 06:30	66.1	3.344	0.226
2023-09-01 06:40	62.6	3.369	0.401
2023-09-01 06:50	58.0	3.539	0.270
2023-09-01 07:00	56.3	3.033	0.188
2023-09-01 07:10	64.7	2.459	0.954
2023-09-01 07:20	66.1	2.373	0.242
2023-09-01 07:30	62.9	2.730	0.685
2023-09-01 07:40	65.0	3.654	0.357
2023-09-01 07:50	61.2	3.915	0.043
2023-09-01 08:00	59.8	4.005	0.407
2023-09-01 08:10	66.8	3.662	0.682
2023-09-01 08:20	70.3	3.793	0.872
2023-09-01 08:30	78.8	3.592	1.122
2023-09-01 08:40	105.8	3.839	0.803
2023-09-01 08:50	117.8	4.521	0.925
2023-09-01 09:00	128.0	4.828	0.799
2023-09-01 09:10	122.0	3.400	0.732
2023-09-01 09:20	116.4	3.637	1.014
2023-09-01 09:30	107.2	3.372	0.829
2023-09-01 09:40	113.6	3.774	0.537
2023-09-01 09:50	110.7	3.542	1.625
2023-09-01 10:00	106.5	2.974	0.757
2023-09-01 10:10	93.2	2.435	0.744
2023-09-01 10:20	76.3	2.803	0.894
2023-09-01 10:30	65.0	2.060	0.607
2023-09-01 10:40	88.2	2.742	0.413
2023-09-01 10:50	77.3	3.078	1.007
2023-09-01 11:00	69.3	2.543	0.998
