Dataset,Transfer,Evaluation,Heights_m,N,Raw_WRF,Data_driven,MOST_based_loss,MOST_informed_input,RMSE_reduction_pct
Dataset A - Xilinhaote,NO3_1071 → NO1_1159,Single-height,10,7663,2.70153600528,1.88245164942,1.91980799563,1.04619813439,44.4236384655
Dataset A - Xilinhaote,NO3_1071 → NO2_1107,Single-height,10,2446,2.60124203039,2.0443526992,2.03530521102,0.920144444823,54.9909149638
Dataset A - Xilinhaote,NO3_1071 → NOT_1166,Single-height,10,7150,2.48979268443,1.71776540997,1.72427501162,1.24706318245,27.4020087255
Dataset B - Huarui_A,C039801 → C039802,Single-height,160,4905,2.65925836193,2.51563826952,2.57141546242,1.20393295246,52.1420481217
Dataset B - Huarui_A,C039802 → C039801,Single-height,160,4905,2.92680256585,2.79120850758,2.6153382492,1.37469232761,50.74920688
Dataset A - Xilinhaote,NO3_1071 → NO1_1159,Multi-height,"10, 30, 50, 70",30643,2.70497420349,2.21349304548,2.24455867918,1.15046655008,48.0248400857
Dataset A - Xilinhaote,NO3_1071 → NO2_1107,Multi-height,"10, 30, 50, 70",9772,2.69587954983,2.4171046354,2.36313790966,1.21298185457,49.8167420306
Dataset A - Xilinhaote,NO3_1071 → NOT_1166,Multi-height,"10, 50, 70",21254,2.42769346265,2.02947123024,2.0373251966,1.22219406471,39.7777092626
Dataset B - Huarui_A,C039801 → C039802,Multi-height,"40, 80, 100, 130, 140, 160",29430,2.38586933679,2.28976649296,2.2054579883,1.03451830345,54.8199213051
Dataset B - Huarui_A,C039802 → C039801,Multi-height,"40, 80, 100, 130, 140, 160",29430,2.81704503493,2.34678577588,2.43019902084,1.12379777448,52.113320865
