Dataset,Transfer,Evaluation,Heights_m,N,Raw_WRF,Data_driven,MOST_based_loss,MOST_informed_input,RMSE_reduction_pct
Dataset A - Xilinhaote,NO3_1071 → NO1_1159,Single-height,10,7663,2.70153600528,2.00110273974,1.97366183716,1.15186676031,42.4383997167
Dataset A - Xilinhaote,NO3_1071 → NO2_1107,Single-height,10,2446,2.60124203039,1.97790718915,2.01228682739,1.07641513443,45.5780766492
Dataset A - Xilinhaote,NO3_1071 → NOT_1166,Single-height,10,7150,2.48979268443,1.70964690802,1.70388691923,1.2418142097,27.3642876854
Dataset B - Huarui_A,C039801 → C039802,Single-height,160,4905,2.65925836193,2.39089056314,2.50799149309,1.26045227622,47.2810551996
Dataset B - Huarui_A,C039802 → C039801,Single-height,160,4905,2.92680256585,3.06846202255,2.84064457231,1.92338925744,37.3174820706
Dataset A - Xilinhaote,NO3_1071 → NO1_1159,Multi-height,"10, 30, 50, 70",30643,2.70497420349,2.22410790409,2.21074371505,1.07557762624,51.6400429914
Dataset A - Xilinhaote,NO3_1071 → NO2_1107,Multi-height,"10, 30, 50, 70",9772,2.69587954983,2.40209102902,2.45382102267,0.948125514016,60.5291596963
Dataset A - Xilinhaote,NO3_1071 → NOT_1166,Multi-height,"10, 50, 70",21254,2.42769346265,2.02862687899,2.04932789531,1.08763585649,46.3856134532
Dataset B - Huarui_A,C039801 → C039802,Multi-height,"40, 80, 100, 130, 140, 160",29430,2.38586933679,2.32958450692,2.21567966849,1.0050894283,56.8554209855
Dataset B - Huarui_A,C039802 → C039801,Multi-height,"40, 80, 100, 130, 140, 160",29430,2.81704503493,2.3220724967,2.31889860235,0.916431877456,60.5338817476
