dataset,code,source_site,target_site,height_m,USED_N,USED_start,USED_end
Dataset A - Xilinhaote,Code1,NO3_1071,NO1_1159,10.0,7663,2009-05-20 11:00:00,2010-04-23 10:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO1_1159,10.0,7663,2009-05-20 11:00:00,2010-04-23 10:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO1_1159,30.0,7658,2009-05-20 11:00:00,2010-04-23 10:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO1_1159,50.0,7658,2009-05-20 11:00:00,2010-04-23 10:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO1_1159,70.0,7664,2009-05-20 11:00:00,2010-04-23 10:00:00
Dataset A - Xilinhaote,Code1,NO3_1071,NO2_1107,10.0,2446,2009-05-20 16:00:00,2010-04-23 11:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO2_1107,10.0,2446,2009-05-20 16:00:00,2010-04-23 11:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO2_1107,30.0,2444,2009-05-20 16:00:00,2010-04-23 11:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO2_1107,50.0,2436,2009-05-20 16:00:00,2010-04-23 11:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NO2_1107,70.0,2446,2009-05-20 16:00:00,2010-04-23 11:00:00
Dataset A - Xilinhaote,Code1,NO3_1071,NOT_1166,10.0,7150,2009-05-16 08:00:00,2010-06-05 22:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NOT_1166,10.0,7150,2009-05-16 08:00:00,2010-06-05 22:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NOT_1166,50.0,7052,2009-05-16 08:00:00,2010-06-01 15:00:00
Dataset A - Xilinhaote,Code2,NO3_1071,NOT_1166,70.0,7052,2009-05-16 08:00:00,2010-06-01 15:00:00
Dataset B - Huarui_A,Code1,C039801,C039802,160.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code1,C039802,C039801,160.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039801,C039802,40.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039802,C039801,40.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039801,C039802,80.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039802,C039801,80.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039801,C039802,100.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039802,C039801,100.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039801,C039802,130.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039802,C039801,130.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039801,C039802,140.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039802,C039801,140.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039801,C039802,160.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
Dataset B - Huarui_A,Code2,C039802,C039801,160.0,4905,2023-09-02 07:00:00,2024-04-30 07:00:00
