code,source_site,target_site,direction,network,case,role,generalization_type,task_name,variable,height_m,N,RMSE,MAE,MBE,Pearson_r,Raw_RMSE,Skill_RMSE_pct,primary_error
Code1,NO3_1071,NO1_1159,NO3_1071→NO1_1159,CNN_LSTM,C2,Data-driven,cross_tower_other_time,NO3_1071_to_NO1_1159_cross_tower_other_time_WS10,WS,10.0,7663,1.8824516494188752,1.452111260302266,-0.5461543219661692,0.8139551858046328,2.7015360052778568,30.31920930384704,1.8824516494188752
Code1,NO3_1071,NO1_1159,NO3_1071→NO1_1159,CNN_LSTM,C4,MOST input,cross_tower_other_time,NO3_1071_to_NO1_1159_cross_tower_other_time_WS10,WS,10.0,7663,1.0461981343926887,0.7591379273851481,-0.2103181705178027,0.9425624634989616,2.7015360052778568,61.27395184262644,1.0461981343926887
Code1,NO3_1071,NO1_1159,NO3_1071→NO1_1159,CNN_LSTM,C6,MOST loss,cross_tower_other_time,NO3_1071_to_NO1_1159_cross_tower_other_time_WS10,WS,10.0,7663,1.919807995633052,1.4812426189697003,-0.6748355239911755,0.815878084140769,2.7015360052778568,28.936427577407148,1.919807995633052
Code1,NO3_1071,NO1_1159,NO3_1071→NO1_1159,TCN,C2,Data-driven,cross_tower_other_time,NO3_1071_to_NO1_1159_cross_tower_other_time_WS10,WS,10.0,7663,2.0011027397443613,1.5404325582841776,-0.6504536755175199,0.7979127551764265,2.7015360052778568,25.927223037749407,2.0011027397443613
Code1,NO3_1071,NO1_1159,NO3_1071→NO1_1159,TCN,C4,MOST input,cross_tower_other_time,NO3_1071_to_NO1_1159_cross_tower_other_time_WS10,WS,10.0,7663,1.1518667603091235,0.8171385246222039,-0.2749520663501948,0.9327745249157572,2.7015360052778568,57.36252420627456,1.1518667603091235
Code1,NO3_1071,NO1_1159,NO3_1071→NO1_1159,TCN,C6,MOST loss,cross_tower_other_time,NO3_1071_to_NO1_1159_cross_tower_other_time_WS10,WS,10.0,7663,1.9736618371623436,1.5270182606229403,-0.6112881741913072,0.8024378469482033,2.7015360052778568,26.94297491106918,1.9736618371623436
Code2,NO3_1071,NO1_1159,NO3_1071→NO1_1159,CNN_LSTM,C2,Data-driven,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO1_1159_cross_tower_other_time,WS,ALL_PROFILE,30643,2.213493045481216,1.7177322100277448,-0.120182182901501,0.7694354521910961,2.704974203488824,18.169532166839343,2.213493045481216
Code2,NO3_1071,NO1_1159,NO3_1071→NO1_1159,CNN_LSTM,C4b,MOST input,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO1_1159_cross_tower_other_time,WS,ALL_PROFILE,30643,1.1504665500805216,0.8734586387295856,0.1200858797126088,0.943930213023039,2.704974203488824,57.46848348510415,1.1504665500805216
Code2,NO3_1071,NO1_1159,NO3_1071→NO1_1159,CNN_LSTM,C6m,MOST loss,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO1_1159_cross_tower_other_time,WS,ALL_PROFILE,30643,2.244558679180605,1.7535250824975688,0.0025349031463369,0.7706602381128842,2.704974203488824,17.021068951947257,2.244558679180605
Code2,NO3_1071,NO1_1159,NO3_1071→NO1_1159,TCN,C2,Data-driven,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO1_1159_cross_tower_other_time,WS,ALL_PROFILE,30643,2.224107904085722,1.7334978453050212,-0.1567588194854479,0.7674667844354454,2.704974203488824,17.777112209901667,2.224107904085722
